Day,Date,City,Kind,#,Activity,Start,End,Min,Travel to next (min),Capped,Now start,Now min,Suggested,Note
4,2026-08-14,Beijing,sight,4,798 Art District,13:44,16:22,158,8,,13:44,158,150,
4,2026-08-14,Beijing,sight,5,UCCA,16:30,18:06,96,3,,16:30,96,75,
4,2026-08-14,Beijing,meal,6,Dinner,18:09,19:39,90,44,,18:09,90,90,
4,2026-08-14,Beijing,endpoint,7,Back to the hotel,20:23,,,,,,,,metro 44m/15km (routed)
5,2026-08-15,Beijing,meal,1,Breakfast,05:30,06:32,62,68,,05:30,62,35,
5,2026-08-15,Beijing,hub,2,Fly from PKX,07:40,09:40,120,,,07:40,120,120,
5,2026-08-15,Beijing,endpoint,3,Fly out,09:40,,,,,,,,
1,2026-08-15,Lijiang,hub,1,Land at LJG,13:00,13:15,15,45,,13:00,15,40,
1,2026-08-15,Lijiang,meal,2,Lunch,14:00,15:43,103,3,,14:00,103,60,
1,2026-08-15,Lijiang,sight,3,Check in at Anyin,15:46,16:55,69,13,,15:46,69,60,
1,2026-08-15,Lijiang,sight,4,Mu Mansion,17:08,18:01,53,7,,17:08,53,45,
1,2026-08-15,Lijiang,sight,5,Sifang Square,18:08,18:39,31,7,,18:08,31,30,
1,2026-08-15,Lijiang,meal,6,Dinner,18:46,20:15,89,13,,18:46,89,90,
1,2026-08-15,Lijiang,sight,7,Dayan Old Town,20:28,21:43,75,4,,20:28,75,90,
1,2026-08-15,Lijiang,endpoint,8,Back to the hotel,21:47,,,,,,,,walk 4m/0.3km (routed)
2,2026-08-16,Lijiang,meal,1,Breakfast,08:00,08:36,36,27,,08:00,36,35,
2,2026-08-16,Lijiang,sight,2,Baisha Village,09:03,10:26,83,4,,09:03,83,75,
2,2026-08-16,Lijiang,sight,3,Baisha Murals,10:30,11:18,48,1,,10:30,48,40,
2,2026-08-16,Lijiang,sight,4,Baisha embroidery,11:19,11:34,15,66,,11:19,15,30,
2,2026-08-16,Lijiang,meal,5,Lunch,12:40,12:58,18,63,,12:40,18,60,
2,2026-08-16,Lijiang,sight,6,Shuhe Old Town,14:01,16:13,132,9,,14:01,132,120,
2,2026-08-16,Lijiang,sight,7,Tea Horse Road Museum,16:22,19:21,179,22,,16:22,179,40,
2,2026-08-16,Lijiang,sight,8,Lion Hill sunset,19:43,20:06,23,60,,19:43,23,75,
2,2026-08-16,Lijiang,meal,9,Dinner,21:06,22:36,90,68,,21:06,90,90,
2,2026-08-16,Lijiang,endpoint,10,Back to the hotel,23:44,,,,,,,,didi 68m/63.4km (routed)
3,2026-08-17,Lijiang,meal,1,Breakfast,07:00,08:01,61,28,,07:00,61,35,
3,2026-08-17,Lijiang,sight,2,Glacier Park cable car,08:29,10:37,128,0,,08:29,128,120,
3,2026-08-17,Lijiang,sight,3,Jade Dragon summit,10:37,13:00,143,0,,10:37,143,90,
3,2026-08-17,Lijiang,sight,4,Impression Lijiang,13:00,14:46,106,7,,13:00,106,105,
3,2026-08-17,Lijiang,meal,5,Lunch,14:53,16:11,78,1,,14:53,78,60,
3,2026-08-17,Lijiang,sight,6,Blue Moon Valley,16:12,17:59,107,1,,16:12,107,90,
3,2026-08-17,Lijiang,meal,7,Dinner,18:00,19:30,90,56,,18:00,90,90,
3,2026-08-17,Lijiang,endpoint,8,Back to the hotel,20:26,,,,,,,,didi 56m/36.7km (routed)
4,2026-08-18,Lijiang,meal,1,Breakfast,07:00,07:38,38,27,,07:00,38,35,
4,2026-08-18,Lijiang,sight,2,Depart for the gorge,08:05,10:08,123,0,,08:05,123,30,
4,2026-08-18,Lijiang,sight,3,Qiaotou gateway,10:08,10:54,46,0,,10:08,46,30,
4,2026-08-18,Lijiang,sight,4,Tiger Leaping Gorge,10:54,13:02,128,0,,10:54,128,120,
4,2026-08-18,Lijiang,meal,5,Lunch,13:02,14:40,98,1,,13:02,98,60,
4,2026-08-18,Lijiang,sight,6,Middle Gorge descent,14:41,18:00,199,0,,14:41,199,180,
4,2026-08-18,Lijiang,meal,7,Dinner,18:00,19:30,90,11,,18:00,90,90,
4,2026-08-18,Lijiang,endpoint,8,Back to the hotel,19:41,,,,,,,,walk 11m/0.7km (routed)
5,2026-08-19,Lijiang,meal,1,Breakfast,07:00,07:52,52,1,,07:00,52,35,
5,2026-08-19,Lijiang,sight,2,Black Dragon Pool,07:53,09:40,107,0,,07:53,107,90,
5,2026-08-19,Lijiang,sight,3,Last Dayan loop,09:40,10:47,67,1,,09:40,67,60,
5,2026-08-19,Lijiang,sight,4,Old Town massage,10:48,12:11,83,0,,10:48,83,75,
5,2026-08-19,Lijiang,meal,5,Lunch,12:11,15:31,200,49,,12:11,200,60,
5,2026-08-19,Lijiang,hub,6,Fly from LJG,16:20,18:20,120,,,16:20,120,120,
5,2026-08-19,Lijiang,endpoint,7,Fly out,18:20,,,,,,,,
1,2026-08-19,Chengdu,hub,1,Land at CTU,20:15,21:03,48,41,,20:15,48,35,
1,2026-08-19,Chengdu,sight,2,Check in at Minyoun Dongda,21:44,22:07,23,15,,21:44,23,30,
1,2026-08-19,Chengdu,meal,3,Dinner,22:22,23:52,90,2,,22:22,90,90,
1,2026-08-19,Chengdu,endpoint,4,Back to the hotel,23:54,,,,,,,,walk 2m/0.1km (routed)
2,2026-08-20,Chengdu,meal,1,Breakfast,07:00,07:27,27,39,,07:00,27,35,
2,2026-08-20,Chengdu,sight,2,Chengdu Panda Base,08:06,11:36,210,32,,08:06,210,210,
2,2026-08-20,Chengdu,sight,3,People’s Park,12:08,12:56,48,5,,12:08,48,45,
2,2026-08-20,Chengdu,meal,4,Lunch,13:01,14:13,72,1,,13:01,72,60,
2,2026-08-20,Chengdu,sight,5,Heming Teahouse,14:14,15:52,98,15,,14:14,98,90,
2,2026-08-20,Chengdu,sight,6,Kuanzhai Alleys,16:07,19:24,197,6,,16:07,197,120,
2,2026-08-20,Chengdu,sight,7,Sichuan opera,19:30,21:14,104,24,,19:30,104,120,
2,2026-08-20,Chengdu,meal,8,Dinner,21:38,23:08,90,1,,21:38,90,90,
2,2026-08-20,Chengdu,endpoint,9,Back to the hotel,23:09,,,,,,,,walk 1m/0.1km (routed)
3,2026-08-21,Chengdu,meal,1,Breakfast,07:00,07:33,33,77,,07:00,33,35,
3,2026-08-21,Chengdu,sight,2,Sanxingdui Museum,08:50,09:05,15,63,,08:50,15,210,
3,2026-08-21,Chengdu,sight,3,Chengdu East → Guanghan,10:08,12:46,158,44,,10:08,158,50,
3,2026-08-21,Chengdu,meal,4,Lunch,13:30,18:30,300,83,,13:30,300,60,
3,2026-08-21,Chengdu,sight,5,Guanghan North,19:53,22:22,149,78,,19:53,149,20,
3,2026-08-21,Chengdu,sight,6,Wuhou Shrine,23:40,01:48,128,13,closes 18:00 — ARRIVES AFTER LAST ENTRY,23:40,128,120,
3,2026-08-21,Chengdu,sight,7,Jinli Old Street,02:01,02:48,47,51,,02:01,47,90,
3,2026-08-21,Chengdu,meal,8,Dinner,03:39,04:28,49,60,,03:39,49,90,
3,2026-08-21,Chengdu,sight,9,Taikoo Li,05:28,06:58,90,16,,05:28,90,90,
3,2026-08-21,Chengdu,endpoint,10,Back to the hotel,07:14 +1,,,,,,,,metro 16m/2.3km (routed)
4,2026-08-22,Chengdu,meal,1,Breakfast,06:30,07:47,77,43,,06:30,77,35,
4,2026-08-22,Chengdu,hub,2,Train from Chengdu East,08:30,09:30,60,,,08:30,60,,
4,2026-08-22,Chengdu,endpoint,3,Fly out,09:30,,,,,,,,
1,2026-08-22,Chongqing,hub,1,Arrive Chongqing North,11:00,11:28,28,29,,11:00,28,,
1,2026-08-22,Chongqing,sight,2,Check in at KS Kongshang,11:57,12:14,17,21,,11:57,17,30,
1,2026-08-22,Chongqing,meal,3,Lunch,12:35,13:38,63,20,,12:35,63,60,
1,2026-08-22,Chongqing,sight,4,Jiefangbei,13:58,14:55,57,20,,13:58,57,60,
1,2026-08-22,Chongqing,sight,5,Raffles Crystal deck,15:15,16:53,98,12,,15:15,98,90,
1,2026-08-22,Chongqing,sight,6,Chaotianmen Docks,17:05,17:38,33,22,,17:05,33,45,
1,2026-08-22,Chongqing,meal,7,Dinner,18:00,19:46,106,1,,18:00,106,90,
1,2026-08-22,Chongqing,sight,8,Kuixinglou Plaza,19:47,20:25,38,21,,19:47,38,30,
1,2026-08-22,Chongqing,sight,9,Qiansimen Bridge,20:46,21:37,51,2,,20:46,51,30,
1,2026-08-22,Chongqing,sight,10,Hongya Cave,21:39,23:09,90,1,closes 23:00 (−9m),21:39,90,105,
1,2026-08-22,Chongqing,endpoint,11,Back to the hotel,23:10,,,,,,,,walk 1m/0km (routed)
2,2026-08-23,Chongqing,meal,1,Breakfast,08:00,08:36,36,20,,08:00,36,35,
2,2026-08-23,Chongqing,sight,2,Liziba monorail,08:56,09:34,38,10,,08:56,38,30,
2,2026-08-23,Chongqing,sight,3,Eling Park,09:44,11:07,83,14,,09:44,83,75,
2,2026-08-23,Chongqing,sight,4,Testbed 2,11:21,12:20,59,39,,11:21,59,90,
2,2026-08-23,Chongqing,meal,5,Lunch,12:59,14:18,79,2,,12:59,79,60,
2,2026-08-23,Chongqing,sight,6,Baixiang Ju,14:20,15:13,53,19,,14:20,53,45,
2,2026-08-23,Chongqing,sight,7,Yangtze Cableway,15:32,16:40,68,11,,15:32,68,60,
2,2026-08-23,Chongqing,sight,8,Longmenhao Old Street,16:51,17:55,64,19,,16:51,64,75,
2,2026-08-23,Chongqing,meal,9,Dinner,18:14,19:52,98,8,,18:14,98,90,
2,2026-08-23,Chongqing,sight,10,Two Rivers night cruise,20:00,22:00,120,21,,20:00,120,75,
2,2026-08-23,Chongqing,endpoint,11,Back to the hotel,22:21,,,,,,,,metro 21m/4.6km (routed)
3,2026-08-24,Chongqing,meal,1,Breakfast,06:30,07:22,52,38,,06:30,52,35,
3,2026-08-24,Chongqing,hub,2,Chongqing North station,08:00,09:00,60,0,,08:00,60,60,
3,2026-08-24,Chongqing,sight,3,Chongqing West (alt station),19:38,00:38,300,,,19:38,300,75,
3,2026-08-24,Chongqing,endpoint,4,Fly out,09:00,,,,,,,,
1,2026-08-24,Zhangjiajie,hub,1,Arrive Zhangjiajie West,12:30,12:45,15,12,,12:30,15,30,
1,2026-08-24,Zhangjiajie,meal,2,Lunch,12:57,14:04,67,40,,12:57,67,60,
1,2026-08-24,Zhangjiajie,sight,3,Check in at Yuji Hotel,14:44,15:17,33,4,,14:44,33,25,
1,2026-08-24,Zhangjiajie,sight,4,Wulingyuan East Gate,15:21,16:14,53,47,,15:21,53,45,
1,2026-08-24,Zhangjiajie,sight,5,Golden Whip Stream,17:01,18:59,118,13,,17:01,118,165,
1,2026-08-24,Zhangjiajie,meal,6,Dinner,19:12,20:42,90,34,,19:12,90,90,
1,2026-08-24,Zhangjiajie,endpoint,7,Back to the hotel,21:16,,,,,,,,didi 34m/21.4km (routed)
2,2026-08-25,Zhangjiajie,meal,1,Breakfast,06:30,06:45,15,54,,06:30,15,35,
2,2026-08-25,Zhangjiajie,sight,2,Bailong Elevator,07:39,08:45,66,2,,07:39,66,60,
2,2026-08-25,Zhangjiajie,sight,3,Yuanjiajie (Avatar),08:47,11:22,155,38,,08:47,155,180,
2,2026-08-25,Zhangjiajie,meal,4,Lunch,12:00,13:19,79,2,,12:00,79,60,
2,2026-08-25,Zhangjiajie,sight,5,Tianzi Mountain,13:21,15:59,158,17,,13:21,158,150,
2,2026-08-25,Zhangjiajie,sight,6,Tianzi cableway down,16:16,17:24,68,22,,16:16,68,60,
2,2026-08-25,Zhangjiajie,sight,7,Ten-Mile Gallery,17:46,19:23,97,1,,17:46,97,90,
2,2026-08-25,Zhangjiajie,meal,8,Dinner,19:24,20:54,90,57,,19:24,90,90,
2,2026-08-25,Zhangjiajie,endpoint,9,Back to the hotel,21:51,,,,,,,,didi 57m/30.1km (routed)
3,2026-08-26,Zhangjiajie,meal,1,Breakfast,07:00,07:34,34,57,,07:00,34,35,
3,2026-08-26,Zhangjiajie,sight,2,Bus to Zhangjiajie city,08:31,09:09,38,12,,08:31,38,30,
3,2026-08-26,Zhangjiajie,sight,3,Tianmen cableway,09:21,09:53,32,51,,09:21,32,75,
3,2026-08-26,Zhangjiajie,sight,4,Tianmen Mountain,10:44,14:59,255,8,,10:44,255,255,
3,2026-08-26,Zhangjiajie,meal,5,Lunch,15:07,17:56,169,4,,15:07,169,60,
3,2026-08-26,Zhangjiajie,meal,6,Dinner,18:00,19:30,90,70,,18:00,90,90,
3,2026-08-26,Zhangjiajie,endpoint,7,Back to the hotel,20:40,,,,,,,,didi 70m/46km (routed)
4,2026-08-27,Zhangjiajie,meal,1,Breakfast,07:00,09:10,130,5,,07:00,130,35,
4,2026-08-27,Zhangjiajie,hub,2,Head to the station,09:15,10:00,45,,,09:15,45,45,
4,2026-08-27,Zhangjiajie,endpoint,3,Fly out,10:00,,,,,,,,
1,2026-08-27,Furong (Hibiscus),hub,1,Arrive Furongzhen,11:30,11:53,23,10,,11:30,23,20,
1,2026-08-27,Furong (Hibiscus),sight,2,Check in at Waterfall Bay,12:03,12:40,37,1,,12:03,37,30,
1,2026-08-27,Furong (Hibiscus),sight,3,Wuli Stone Street,12:41,13:49,68,1,,12:41,68,60,
1,2026-08-27,Furong (Hibiscus),sight,4,Tuwang Palace,13:50,14:27,37,1,,13:50,37,30,
1,2026-08-27,Furong (Hibiscus),sight,5,Furong waterfall,14:28,15:36,68,1,,14:28,68,60,
1,2026-08-27,Furong (Hibiscus),sight,6,Youshui River cruise,15:37,17:59,142,1,,15:37,142,30,
1,2026-08-27,Furong (Hibiscus),meal,7,Dinner,18:00,20:59,179,1,,18:00,179,90,
1,2026-08-27,Furong (Hibiscus),sight,8,Baishetang Square,21:00,21:38,38,1,,21:00,38,30,
1,2026-08-27,Furong (Hibiscus),sight,9,Shenpu Camp Square,21:39,22:07,28,1,,21:39,28,20,
1,2026-08-27,Furong (Hibiscus),sight,10,Far-bank platform,22:08,23:08,60,1,,22:08,60,30,
1,2026-08-27,Furong (Hibiscus),endpoint,11,Back to the hotel,23:09,,,,,,,,walk 1m/0km (routed)
2,2026-08-28,Furong (Hibiscus),sight,1,Dawn photo session,05:38,06:25,47,1,,05:38,47,45,
2,2026-08-28,Furong (Hibiscus),sight,2,Xizhou Bronze Pillar,06:26,06:54,28,0,,06:26,28,20,
2,2026-08-28,Furong (Hibiscus),sight,3,Old-town mop-up,06:54,08:01,67,1,,06:54,67,60,
2,2026-08-28,Furong (Hibiscus),meal,4,Breakfast,08:02,11:54,232,1,,08:02,232,35,
2,2026-08-28,Furong (Hibiscus),meal,5,Lunch,11:55,13:04,69,11,,11:55,69,60,
2,2026-08-28,Furong (Hibiscus),hub,6,Train from Furongzhen,13:15,14:00,45,,,13:15,45,,
2,2026-08-28,Furong (Hibiscus),endpoint,7,Fly out,14:00,,,,,,,,
1,2026-08-28,Fenghuang,hub,1,Fenghuang HSR station,16:00,16:25,25,21,,16:00,25,20,
1,2026-08-28,Fenghuang,sight,2,Check in at Jinshuian,16:46,17:14,28,13,,16:46,28,20,
1,2026-08-28,Fenghuang,sight,3,East Gate Tower,17:27,17:50,23,1,,17:27,23,15,
1,2026-08-28,Fenghuang,sight,4,Hong Bridge,17:51,18:24,33,14,,17:51,33,20,
1,2026-08-28,Fenghuang,sight,5,Fenghuang Ancient Town,18:38,19:57,79,4,,18:38,79,75,
1,2026-08-28,Fenghuang,meal,6,Dinner,20:01,21:43,102,16,,20:01,102,90,
1,2026-08-28,Fenghuang,sight,7,Tuojiang night boat,21:59,22:36,37,1,,21:59,37,30,
1,2026-08-28,Fenghuang,sight,8,Snow Bridge (Xueqiao),22:37,03:37,300,8,,22:37,300,15,
1,2026-08-28,Fenghuang,sight,9,Station shuttle / taxi,03:45,04:30,45,8,,03:45,45,25,
1,2026-08-28,Fenghuang,endpoint,10,Back to the hotel,04:31 +1,,,,,,,,walk 8m/0.4km (routed)
2,2026-08-29,Fenghuang,sight,1,Sunrise / mist session,05:38,06:26,48,5,,05:38,48,45,
2,2026-08-29,Fenghuang,meal,2,Breakfast,06:31,07:27,56,18,,06:31,56,35,
2,2026-08-29,Fenghuang,hub,3,Train from Gucheng,07:45,08:30,45,,,07:45,45,,
2,2026-08-29,Fenghuang,endpoint,4,Fly out,08:30,,,,,,,,
1,2026-08-29,Guilin,hub,1,Arrive Guilin North,14:30,14:45,15,24,,14:30,15,,
1,2026-08-29,Guilin,meal,2,Lunch,15:09,16:27,78,5,,15:09,78,60,
1,2026-08-29,Guilin,sight,3,Check in at RongShi,16:32,17:02,30,18,,16:32,30,30,
1,2026-08-29,Guilin,sight,4,Elephant Trunk Hill,17:20,18:00,40,13,,17:20,40,45,
1,2026-08-29,Guilin,meal,5,Dinner,18:13,20:02,109,7,,18:13,109,90,
1,2026-08-29,Guilin,sight,6,Two Rivers & Four Lakes,20:09,21:09,60,5,,20:09,60,90,
1,2026-08-29,Guilin,endpoint,7,Back to the hotel,21:14,,,,,,,,didi 5m/1.2km (routed)
2,2026-08-30,Guilin,meal,1,Breakfast,05:39,07:00,81,0,,05:39,81,35,
2,2026-08-30,Guilin,hub,2,Zhujiang Wharf transfer,07:00,07:45,45,,,07:00,45,45,
2,2026-08-30,Guilin,endpoint,3,Fly out,07:45,,,,,,,,
1,2026-08-30,Yangshuo,hub,1,Dock at Yangshuo,13:30,13:53,23,7,,13:30,23,,
1,2026-08-30,Yangshuo,meal,2,Lunch,14:00,14:15,15,4,,14:00,15,60,
1,2026-08-30,Yangshuo,sight,3,Li River cruise,14:19,15:21,62,1,,14:19,62,255,
1,2026-08-30,Yangshuo,sight,4,Fengqi Homestay,15:22,16:00,38,3,,15:22,38,30,
1,2026-08-30,Yangshuo,sight,5,West Street,16:03,17:46,103,14,,16:03,103,90,
1,2026-08-30,Yangshuo,meal,6,Dinner,18:00,19:47,107,9,,18:00,107,90,
1,2026-08-30,Yangshuo,sight,7,Li River night walk,19:56,20:56,60,1,,19:56,60,45,
1,2026-08-30,Yangshuo,endpoint,8,Back to the hotel,20:57,,,,,,,,walk 1m/0km (routed)
2,2026-08-31,Yangshuo,sight,1,Xianggong sunrise,05:38,06:29,51,47,,05:38,51,90,
2,2026-08-31,Yangshuo,meal,2,Breakfast,07:16,07:48,32,22,,07:16,32,35,
2,2026-08-31,Yangshuo,sight,3,Xingping Ancient Town,08:10,09:24,74,0,,08:10,74,60,
2,2026-08-31,Yangshuo,sight,4,20-RMB viewpoint,09:24,12:15,171,0,,09:24,171,30,
2,2026-08-31,Yangshuo,meal,5,Lunch,12:15,17:15,300,20,,12:15,300,60,
2,2026-08-31,Yangshuo,meal,6,Dinner,18:00,19:55,115,20,,18:00,115,90,
2,2026-08-31,Yangshuo,sight,7,Impression Liu Sanjie,20:15,22:15,120,0,,20:15,120,90,
2,2026-08-31,Yangshuo,endpoint,8,Back to the hotel,22:15,,,,,,,,undefined 0m (routed)
3,2026-09-01,Yangshuo,meal,1,Breakfast,08:00,08:32,32,58,,08:00,32,35,
3,2026-09-01,Yangshuo,sight,2,Yulong bamboo rafting,09:30,11:24,114,0,,09:30,114,90,
3,2026-09-01,Yangshuo,sight,3,Yulong valley cycling,11:24,14:02,158,0,,11:24,158,150,
3,2026-09-01,Yangshuo,meal,4,Lunch,14:02,15:34,92,1,,14:02,92,60,
3,2026-09-01,Yangshuo,sight,5,Moon Hill,15:35,18:00,145,0,,15:35,145,90,
3,2026-09-01,Yangshuo,meal,6,Dinner,18:00,19:30,90,52,,18:00,90,90,
3,2026-09-01,Yangshuo,endpoint,7,Back to the hotel,20:22,,,,,,,,didi 52m/30.9km (routed)
4,2026-09-02,Yangshuo,meal,1,Breakfast,05:30,07:02,92,78,,05:30,92,35,
4,2026-09-02,Yangshuo,hub,2,Fly from KWL,08:20,10:20,120,,,08:20,120,120,
4,2026-09-02,Yangshuo,endpoint,3,Fly out,10:20,,,,,,,,
1,2026-09-02,Shanghai,hub,1,Land at PVG,13:00,13:16,16,37,,13:00,16,40,
1,2026-09-02,Shanghai,meal,2,Lunch,13:53,14:58,65,3,,13:53,65,60,
1,2026-09-02,Shanghai,sight,3,Shanghai Maglev,15:01,15:31,30,23,,15:01,30,25,
1,2026-09-02,Shanghai,sight,4,Check in at Marriott,15:54,16:32,38,16,,15:54,38,30,
1,2026-09-02,Shanghai,sight,5,Nanjing Road East,16:48,17:41,53,19,,16:48,53,60,
1,2026-09-02,Shanghai,meal,6,Dinner,18:00,19:41,101,16,,18:00,101,90,
1,2026-09-02,Shanghai,sight,7,The Bund,19:57,21:27,90,5,,19:57,90,60,
1,2026-09-02,Shanghai,endpoint,8,Back to the hotel,21:32,,,,,,,,walk 5m/0.4km (routed)
2,2026-09-03,Shanghai,meal,1,Breakfast,07:00,07:35,35,19,,07:00,35,35,
2,2026-09-03,Shanghai,sight,2,Recovery massage / spa,07:54,09:41,107,19,,07:54,107,90,
2,2026-09-03,Shanghai,sight,3,M50 Creative Park,10:00,12:08,128,0,,10:00,128,120,
2,2026-09-03,Shanghai,meal,4,Lunch,12:08,13:07,59,20,,12:08,59,60,
2,2026-09-03,Shanghai,sight,5,Jing’an Temple,13:27,14:44,77,14,,13:27,77,60,
2,2026-09-03,Shanghai,sight,6,Nanjing Road West,14:58,16:23,85,5,,14:58,85,75,
2,2026-09-03,Shanghai,sight,7,Zhangyuan,16:28,17:53,85,7,,16:28,85,60,
2,2026-09-03,Shanghai,meal,8,Dinner,18:00,19:30,90,16,,18:00,90,90,
2,2026-09-03,Shanghai,endpoint,9,Back to the hotel,19:46,,,,,,,,metro 16m/2.2km (routed)
3,2026-09-04,Shanghai,meal,1,Breakfast,07:00,07:35,35,25,,07:00,35,35,
3,2026-09-04,Shanghai,sight,2,Wukang Building,08:00,08:28,28,10,,08:00,28,20,
3,2026-09-04,Shanghai,sight,3,Wukang Road,08:38,09:46,68,4,,08:38,68,60,
3,2026-09-04,Shanghai,sight,4,Ferguson Lane,09:50,10:43,53,14,,09:50,53,45,
3,2026-09-04,Shanghai,sight,5,Anfu Road,10:57,11:50,53,14,,10:57,53,45,
3,2026-09-04,Shanghai,sight,6,Wulumuqi Road,12:04,12:21,17,21,,12:04,17,30,
3,2026-09-04,Shanghai,meal,7,Lunch,12:42,13:55,73,5,,12:42,73,60,
3,2026-09-04,Shanghai,sight,8,Fuxing Park,14:00,14:38,38,20,,14:00,38,45,
3,2026-09-04,Shanghai,sight,9,Sinan Mansions,14:58,17:55,177,5,,14:58,177,60,
3,2026-09-04,Shanghai,meal,10,Dinner,18:00,19:30,90,3,,18:00,90,90,
3,2026-09-04,Shanghai,endpoint,11,Back to the hotel,19:33,,,,,,,,walk 3m/0.2km (routed)
4,2026-09-05,Shanghai,meal,1,Breakfast,08:00,08:42,42,18,,08:00,42,35,
4,2026-09-05,Shanghai,sight,2,Yu Garden,09:00,10:49,109,3,,09:00,109,90,
4,2026-09-05,Shanghai,sight,3,Mid-Lake Teahouse,10:52,12:04,72,2,,10:52,72,60,
4,2026-09-05,Shanghai,sight,4,Yuyuan Bazaar,12:06,13:08,62,6,,12:06,62,60,
4,2026-09-05,Shanghai,meal,5,Lunch,13:14,14:28,74,4,,13:14,74,60,
4,2026-09-05,Shanghai,sight,6,City God Temple,14:32,15:16,44,18,,14:32,44,45,
4,2026-09-05,Shanghai,sight,7,People’s Square,15:34,17:40,126,20,,15:34,126,45,
4,2026-09-05,Shanghai,meal,8,Dinner,18:00,19:59,119,1,,18:00,119,90,
4,2026-09-05,Shanghai,sight,9,Huangpu night cruise,20:00,21:10,70,22,,20:00,70,75,
4,2026-09-05,Shanghai,sight,10,Old Jazz Bar,21:32,23:32,120,0,,21:32,120,90,
4,2026-09-05,Shanghai,endpoint,11,Back to the hotel,23:32,,,,,,,,undefined 0m (routed)
5,2026-09-06,Shanghai,meal,1,Breakfast,09:00,09:35,35,27,,09:00,35,35,
5,2026-09-06,Shanghai,sight,2,TANK Shanghai,10:02,11:04,62,38,,10:02,62,75,
5,2026-09-06,Shanghai,sight,3,West Bund Museum,11:42,13:05,83,15,,11:42,83,90,
5,2026-09-06,Shanghai,meal,4,Lunch,13:20,14:42,82,1,,13:20,82,60,
5,2026-09-06,Shanghai,sight,5,West Bund riverside,14:43,15:38,55,15,,14:43,55,45,
5,2026-09-06,Shanghai,sight,6,Long Museum West Bund,15:53,17:30,97,18,,15:53,97,90,
5,2026-09-06,Shanghai,sight,7,Check in — J Hotel (Tower),17:48,18:40,52,1,,17:48,52,45,
5,2026-09-06,Shanghai,meal,8,Dinner,18:41,20:11,90,5,,18:41,90,90,
5,2026-09-06,Shanghai,endpoint,9,Back to the hotel,20:16,,,,,,,,walk 5m/0.3km (routed)
